You entered a buffer length of 100
1600,   0.017396,   0.015704,   0.015687,   0.017396,   0.982299,   0.981573,   0.981566,   0.982299,   0.196606,   0.196848,   0.196606,   0.196850
1616,   0.014955,   0.017372,   0.014955,   0.017396,   0.980468,   0.982281,   0.980468,   0.982299,   0.192944,   0.196569,   0.192944,   0.196606
1631,   0.015565,   0.014961,   0.014955,   0.015565,   0.982055,   0.980484,   0.980468,   0.982055,   0.193920,   0.192954,   0.192944,   0.193920
1647,   0.015321,   0.015563,   0.015321,   0.015565,   0.980834,   0.982043,   0.980834,   0.982055,   0.196484,   0.193946,   0.193920,   0.196484
1663,   0.013368,   0.015301,   0.013368,   0.015321,   0.982665,   0.980852,   0.980834,   0.982665,   0.193920,   0.196458,   0.193920,   0.196484
1678,   0.014955,   0.013384,   0.013368,   0.014955,   0.984862,   0.982687,   0.982665,   0.984862,   0.194653,   0.193927,   0.193920,   0.194653
1694,   0.016053,   0.014966,   0.014955,   0.016053,   0.984130,   0.984855,   0.984130,   0.984862,   0.195874,   0.194665,   0.194653,   0.195874
1710,   0.018006,   0.016073,   0.016053,   0.018006,   0.985229,   0.984141,   0.984130,   0.985229,   0.199658,   0.195912,   0.195874,   0.199658
1725,   0.015321,   0.017979,   0.015321,   0.018006,   0.988158,   0.985258,   0.985229,   0.988158,   0.195385,   0.199615,   0.195385,   0.199658
1741,   0.012757,   0.015295,   0.012757,   0.015321,   0.977538,   0.988052,   0.977538,   0.988158,   0.193798,   0.195369,   0.193798,   0.195385
1756,   0.014222,   0.012772,   0.012757,   0.014222,   0.986571,   0.977628,   0.977538,   0.986571,   0.194409,   0.193804,   0.193798,   0.194409
1772,   0.015199,   0.014232,   0.014222,   0.015199,   0.980712,   0.986512,   0.980712,   0.986571,   0.193798,   0.194403,   0.193798,   0.194409
1788,   0.014466,   0.015192,   0.014466,   0.015199,   0.986205,   0.980767,   0.980712,   0.986205,   0.195996,   0.193820,   0.193798,   0.195996
1803,   0.015931,   0.014481,   0.014466,   0.015931,   0.982177,   0.986165,   0.982177,   0.986205,   0.194287,   0.195979,   0.194287,   0.195996
1819,   0.015199,   0.015924,   0.015199,   0.015931,   0.982665,   0.982182,   0.982177,   0.982665,   0.196484,   0.194309,   0.194287,   0.196484
1834,   0.018006,   0.015227,   0.015199,   0.018006,   0.982543,   0.982664,   0.982543,   0.982665,   0.191723,   0.196436,   0.191723,   0.196484
1850,   0.017640,   0.018002,   0.017640,   0.018006,   0.983397,   0.982552,   0.982543,   0.983397,   0.196118,   0.191767,   0.191723,   0.196118
1866,   0.012513,   0.017589,   0.012513,   0.017640,   0.982909,   0.983392,   0.982909,   0.983397,   0.194897,   0.196106,   0.194897,   0.196118
