You entered a buffer length of 100
X: 0.013123
 Y: 0.967283
 Z: 0.203443
X: 0.012635
 Y: 0.969236
 Z: 0.204419
X: 0.008973
 Y: 0.973021
 Z: 0.203321
X: 0.008484
 Y: 0.974120
 Z: 0.205518
X: 0.005555
 Y: 0.986327
 Z: 0.203565
X: 0.002136
 Y: 0.973631
 Z: 0.199536
X: 0.005555
 Y: 0.977416
 Z: 0.199902
X: 0.009583
 Y: 0.977538
 Z: 0.202588
X: 0.008606
 Y: 0.967405
 Z: 0.203809
X: 0.012879
 Y: 0.970701
 Z: 0.199048
X: 0.010804
 Y: 0.970823
 Z: 0.199780
X: 0.008606
 Y: 0.968138
 Z: 0.202222
X: 0.012635
 Y: 0.973997
 Z: 0.202832
X: 0.011658
 Y: 0.976073
 Z: 0.206250
X: 0.010682
 Y: 0.977293
 Z: 0.200879
X: 0.011048
 Y: 0.974974
 Z: 0.199780
X: 0.013245
 Y: 0.973387
 Z: 0.203809
X: 0.011903
 Y: 0.965940
 Z: 0.204053
X: 0.011048
 Y: 0.968992
 Z: 0.200391
X: 0.009949
 Y: 0.973997
 Z: 0.198315
X: 0.011048
 Y: 0.973997
 Z: 0.200391
X: 0.007630
 Y: 0.971556
 Z: 0.203076
X: 0.008118
 Y: 0.967894
 Z: 0.202100
X: 0.010438
 Y: 0.977171
 Z: 0.203198
X: 0.013245
 Y: 0.970701
 Z: 0.203198
X: 0.009461
 Y: 0.973631
 Z: 0.200024
X: 0.012635
 Y: 0.967771
 Z: 0.201733
X: 0.007630
 Y: 0.975829
 Z: 0.201733
X: 0.007386
 Y: 0.971922
 Z: 0.199780
X: 0.006653
 Y: 0.971190
 Z: 0.200146
X: 0.011048
 Y: 0.969358
 Z: 0.201856
X: 0.009827
 Y: 0.972044
 Z: 0.202466
X: 0.011414
 Y: 0.967771
 Z: 0.201001
X: 0.010316
 Y: 0.974852
 Z: 0.204053
X: 0.008729
 Y: 0.970091
 Z: 0.199048
X: 0.006409
 Y: 0.969847
 Z: 0.202588
X: 0.007874
 Y: 0.972044
 Z: 0.203687
X: 0.011414
 Y: 0.970335
 Z: 0.204297
X: 0.010071
 Y: 0.975462
 Z: 0.201367
X: 0.011536
 Y: 0.970457
 Z: 0.204175
X: 0.012391
 Y: 0.973875
 Z: 0.200146
X: 0.009339
 Y: 0.968626
 Z: 0.201611
X: 0.004578
 Y: 0.978026
 Z: 0.204908
X: 0.012757
 Y: 0.972777
 Z: 0.202100
X: 0.008973
 Y: 0.972044
 Z: 0.202832
X: 0.010560
 Y: 0.969358
