You entered a buffer length of 100
X: 0.010560
 Y: 0.972777
 Z: 0.200513
X: 0.009217
 Y: 0.973875
 Z: 0.199658
X: 0.008729
 Y: 0.968870
 Z: 0.201245
X: 0.008729
 Y: 0.970945
 Z: 0.203565
X: 0.009583
 Y: 0.972655
 Z: 0.203565
X: 0.010071
 Y: 0.973753
 Z: 0.203565
X: 0.007508
 Y: 0.973387
 Z: 0.200391
X: 0.010438
 Y: 0.971434
 Z: 0.200146
X: 0.009095
 Y: 0.973997
 Z: 0.201978
X: 0.010316
 Y: 0.969969
 Z: 0.202588
X: 0.009461
 Y: 0.970579
 Z: 0.202222
X: 0.013001
 Y: 0.972410
 Z: 0.200635
X: 0.010438
 Y: 0.969725
 Z: 0.199414
X: 0.011903
 Y: 0.970335
 Z: 0.199780
X: 0.009339
 Y: 0.975462
 Z: 0.199902
X: 0.011170
 Y: 0.973265
 Z: 0.201733
X: 0.008973
 Y: 0.970335
 Z: 0.202588
X: 0.007996
 Y: 0.972533
 Z: 0.201367
X: 0.009705
 Y: 0.969236
 Z: 0.202222
X: 0.009461
 Y: 0.969481
 Z: 0.201733
X: 0.010560
 Y: 0.971800
 Z: 0.206128
X: 0.008606
 Y: 0.971922
 Z: 0.202832
X: 0.009095
 Y: 0.975218
 Z: 0.202222
X: 0.012147
 Y: 0.976561
 Z: 0.203198
X: 0.010316
 Y: 0.973997
 Z: 0.200879
X: 0.009705
 Y: 0.969847
 Z: 0.199902
X: 0.011658
 Y: 0.976073
 Z: 0.203198
X: 0.008362
 Y: 0.969114
 Z: 0.200024
X: 0.009827
 Y: 0.974608
 Z: 0.202588
X: 0.009461
 Y: 0.975951
 Z: 0.202100
X: 0.007630
 Y: 0.979491
 Z: 0.201733
X: 0.010438
 Y: 0.972410
 Z: 0.199048
X: 0.009949
 Y: 0.971556
 Z: 0.202222
X: 0.006287
 Y: 0.972410
 Z: 0.199902
X: 0.009949
 Y: 0.970213
 Z: 0.197583
X: 0.009827
 Y: 0.973143
 Z: 0.203809
X: 0.011292
 Y: 0.974242
 Z: 0.199902
X: 0.008729
 Y: 0.976805
 Z: 0.201001
X: 0.009949
 Y: 0.970579
 Z: 0.204175
X: 0.010438
 Y: 0.974974
 Z: 0.201978
X: 0.009095
 Y: 0.968992
 Z: 0.202100
X: 0.009827
 Y: 0.974730
 Z: 0.201733
X: 0.009827
 Y: 0.970335
 Z: 0.201001
X: 0.008484
 Y: 0.979247
 Z: 0.202222
X: 0.010682
 Y: 0.977293
 Z: 0.201123
X: 0.008240
 Y: 0.977293
 Z: 0.201611
X: 0.010316
 Y: 0.970457
 Z: 0.207715
