1727,0.185185,-0.076923,0.076923,,1727,0.214773788
1729,0.185185,-0.076923,0.076923,,1729,0.214773788
1749,0.222222,-0.115385,0.076923,,1749,0.261941718
1764,0.222222,-0.115385,0.076923,,1764,0.261941718
1769,0.185185,-0.115385,0.076923,,1769,0.231353259
1784,0.185185,-0.115385,0.115385,,1784,0.246821556
1789,0.185185,-0.115385,0.153846,,1789,0.266975231
1819,0.185185,-0.115385,0.153846,,1819,0.266975231
1820,0.185185,-0.115385,0.153846,,1820,0.266975231
1835,0.185185,-0.115385,0.153846,,1835,0.266975231
1840,0.222222,-0.115385,0.153846,,1840,0.293879069
1855,0.185185,-0.115385,0.153846,,1855,0.266975231
1860,0.185185,-0.115385,0.153846,,1860,0.266975231
1875,0.222222,-0.115385,0.153846,,1875,0.293879069
1880,0.222222,-0.115385,0.153846,,1880,0.293879069
1895,0.222222,-0.115385,0.115385,,1895,0.275699136
1901,0.222222,-0.076923,0.153846,,1901,0.28101309
1917,0.222222,-0.115385,0.153846,,1917,0.293879069
1921,0.222222,-0.076923,0.153846,,1921,0.28101309
1936,0.222222,-0.115385,0.153846,,1936,0.293879069
1941,0.222222,-0.115385,0.153846,,1941,0.293879069
1956,0.222222,-0.115385,0.153846,,1956,0.293879069
1961,0.222222,-0.115385,0.192308,,1961,0.315719309
1976,0.259259,-0.115385,0.153846,,1976,0.322796405
1991,0.296296,-0.076923,0.153846,,1991,0.342603356
1992,2,-1.576923,0.423077,,1992,2.581797881
2007,0.222222,3.576923,-0.076923,,2007,3.58464474
2012,-0.851852,-0.346154,-1,,2012,1.358482397
2042,-0.851852,-0.346154,-1,,2042,1.358482397
2044,0,-0.038462,0.038462,,2044,0.054393482
2057,-0.111111,0,0.076923,,2057,0.135139936
2072,0,0.038462,-0.076923,,2072,0.086002752
2076,0.037037,0.076923,0.115385,,2076,0.143536008
2091,-0.037037,0.038462,0.038462,,2091,0.065805701
2094,-0.074074,0,0,,2094,0.074074
2109,-0.074074,0,0.038462,,2109,0.083464261
2114,-0.037037,0,0,,2114,0.037037
2129,-0.037037,0,0.038462,,2129,0.053395363
2134,-0.037037,0,0.038462,,2134,0.053395363
2149,0,0,0.038462,,2149,0.038462
2164,0,0,0.038462,,2164,0.038462
2165,-0.037037,0,0,,2165,0.037037
2180,0,0,0.038462,,2180,0.038462
2185,0.037037,0.038462,0.038462,,2185,0.065805701
2201,-0.037037,0,0,,2201,0.037037
2205,0,0,0.038462,,2205,0.038462
2220,0,0,0,,2220,0
2225,0,0,0.038462,,2225,0.038462
2240,0,0,0,,2240,0
2255,0,0,0.038462,,2255,0.038462
2256,0,0,0.038462,,2256,0.038462
2271,0,0,0,,2271,0
2276,0,0,0,,2276,0
2291,0,0,0.038462,,2291,0.038462
2296,0,0,0.038462,,2296,0.038462
2311,0,0,0,,2311,0
2346,0,0.038462,0.038462,,2346,0.054393482
2347,0,0,0.038462,,2347,0.038462
2362,0,0.038462,0.038462,,2362,0.054393482
2367,0,0.038462,0.038462,,2367,0.054393482
2382,0.037037,0,0,,2382,0.037037
2387,0,0,0,,2387,0
2405,0,0,0,,2405,0
2407,0,0,0,,2407,0
2422,0,0,0.038462,,2422,0.038462
2442,0,0,0,,2442,0
2447,0,0,0,,2447,0
2462,0,0,0.038462,,2462,0.038462
2477,0,0.038462,0.038462,,2477,0.054393482
2479,0,0,0.038462,,2479,0.038462
2494,0,0.038462,0.038462,,2494,0.054393482
2499,0,0,0.038462,,2499,0.038462
2514,0,0,0.038462,,2514,0.038462
2529,0,0,0.038462,,2529,0.038462
2530,0,0,0.038462,,2530,0.038462
2549,0,0,0.038462,,2549,0.038462
2579,0,0,0.038462,,2579,0.038462
2595,0,0,0.038462,,2595,0.038462
2600,0,0,0.038462,,2600,0.038462
2616,0,0,0.038462,,2616,0.038462
2620,0,0,0.038462,,2620,0.038462
2635,0,0,0.038462,,2635,0.038462
2640,0,0,0.038462,,2640,0.038462
2655,0,0,0.038462,,2655,0.038462
2671,0,0,0.038462,,2671,0.038462
2687,0,0,0.038462,,2687,0.038462
2691,0.037037,0,0.038462,,2691,0.053395363
2711,0,0,0.038462,,2711,0.038462
2726,0,0,0.038462,,2726,0.038462
2731,0.037037,0,0.038462,,2731,0.053395363
2746,0,0,0.038462,,2746,0.038462
2752,0.037037,0.038462,0.038462,,2752,0.065805701
2767,0,0,0.038462,,2767,0.038462
2772,0.037037,0,0.038462,,2772,0.053395363
2792,0,0,0.038462,,2792,0.038462
