      30,  -0.001466,   0.001465,   0.002441,   0.024965,   0.992919,   0.209058, 0,0,0,0
      46,   0.000000,   0.000977,   0.004395,   0.023256,   0.990112,   0.202344, 0,0,0,0
      62,  -0.000977,   0.001465,   0.001953,   0.026674,   0.997681,   0.208814, 0,0,0,0
      77,  -0.001954,   0.000977,   0.002930,   0.025087,   0.991455,   0.205152, 0,0,0,0
      93,  -0.000977,   0.000977,   0.002930,   0.024110,   0.988891,   0.206983, 0,0,0,0
     109,   0.000488,   0.001465,   0.001953,   0.027406,   0.987060,   0.204053, 0,0,0,0
     124,  -0.000489,   0.000488,   0.003418,   0.025331,   0.992919,   0.208936, 0,0,0,0
     140,  -0.000489,   0.001465,   0.001953,   0.021913,   0.990600,   0.205274, 0,0,0,0
     155,  -0.000489,   0.001465,   0.002930,   0.021303,   0.987426,   0.206861, 0,0,0,0
     171,  -0.000489,   0.000977,   0.002930,   0.023378,   0.991577,   0.207715, 0,0,0,0
     187,  -0.000977,   0.001465,   0.002441,   0.021791,   0.989990,   0.205396, 0,0,0,0
     202,  -0.001954,   0.000977,   0.002441,   0.030458,   0.994018,   0.215284, 0,0,0,0
     218,  -0.003420,  -0.002931,   0.001465,   0.035708,   0.981444,   0.212354, 0,0,0,0
     233,   0.000000,  -0.001466,   0.001465,   0.007874,   1.001221,   0.198804, 0,0,0,0
     249,  -0.000977,   0.002930,   0.001953,   0.028505,   0.989257,   0.202466, 0,0,0,0
     265,  -0.000977,   0.000977,   0.002441,   0.025575,   0.992553,   0.208326, 0,0,0,0
     280,  -0.000977,   0.000488,   0.003418,   0.028383,   0.984862,   0.195996, 0,0,0,0
     296,  -0.000977,   0.002441,   0.001953,   0.024599,   0.992187,   0.214552, 0,0,0,0
     312,  -0.001466,   0.000977,   0.004883,   0.025697,   0.991455,   0.204663, 0,0,0,0
     327,  -0.000977,   0.001465,   0.003418,   0.027895,   0.995117,   0.202710, 0,0,0,0
     343,  -0.001954,   0.001465,   0.001953,   0.023134,   0.992553,   0.206250, 0,0,0,0
     358,  -0.001466,   0.001953,   0.002441,   0.029360,   0.987792,   0.198926, 0,0,0,0
